,repo,commit,commit_message,message
0,profiles,07b3ef55d7ce1445b0b523b861dc442079581b50,Set ordering,Set ordering
1,profiles,72df64c51fea549fe559977ca8713613138706a9,remove version parameter,remove version parameter
2,profiles,c9a683d3586083a4aedf723bec72e9f21a3ad1e1,Initial commit,Initial commit
3,roles,5b94f457643cce0d6d2bee70deabfa18bfe229fa,"Revert ""debug sudo""

This reverts commit e015defa639aaaaeda428c47e3381cd350985a6e.","Revert ""debug sudo""

This reverts commit e015defa639aaaaeda428c47e3381cd350985a6e."
4,roles,e015defa639aaaaeda428c47e3381cd350985a6e,debug sudo,debug sudo
5,roles,4c24a1c0a934dd5a8e49def49ff64288e6c5f4bb,"Revert ""Remove unnecessary/unconfigured modules for pmlc""

This reverts commit 18c59dabd7fe721ab70bf155f22d1b417f37ef96.","Revert ""Remove unnecessary/unconfigured modules for pmlc""

This reverts commit 18c59dabd7fe721ab70bf155f22d1b417f37ef96."
6,roles,18c59dabd7fe721ab70bf155f22d1b417f37ef96,Remove unnecessary/unconfigured modules for pmlc,Remove unnecessary/unconfigured modules for pmlc
7,roles,7db117f776dcb2ed941c02d2fac24dff6fc25612,Add roles for pmlc versions of openstack boxen,Add roles for pmlc versions of openstack boxen
8,roles,331724b73830f8c5d2472b71de34d6483e73c87a,Change cicd firewall profile name to deploy.,Change cicd firewall profile name to deploy.
9,roles,e01ed9c154bbd9c5e71ad429cadab0b02d8880d2,Initial commit,Initial commit
10,pmlc_nova,3b1157bb68707b1c9092e61cb58824312d5fb5fd,Move live migration and image type out of parameter and into selector based on whether ceph is used or not,Move live migration and image type out of parameter and into selector based on whether ceph is used or not
11,pmlc_nova,fa6b7bf53ee3d591cf98725c60f6646c932dab39,"This is a bit backwards, but default to true on use_ceph and inherit that in the params class to use with a selector for values.","This is a bit backwards, but default to true on use_ceph and inherit that in the params class to use with a selector for values."
12,pmlc_nova,d47e457b3baf8d0333dce4d055af6d9231e6f504,"This is a bit backwards, but default to true on use_ceph and inherit that in the params class to use with a selector for values.","This is a bit backwards, but default to true on use_ceph and inherit that in the params class to use with a selector for values."
13,pmlc_nova,8c1c74254797f2c0101af811374a4f512543e76b,Fix typo in selector,Fix typo in selector
14,pmlc_nova,2cbe257aec1cd23237c583b602611dcfa55a9df1,set use_ceph to true by default. fix typo,set use_ceph to true by default. fix typo
15,pmlc_nova,9637a53947b416fc2bd7f61588a595718c3ca44b,Add toggle for whether to use ceph or not,Add toggle for whether to use ceph or not
16,pmlc_nova,92a099896e72a90f7a80668ed8476b16acacd83e,Initial commit,Initial commit
17,fuel-plugin-celebrer,6cc9a394128c2e067ddea2165cbd20952d42a2b3,Add dashboard,Add dashboard
18,fuel-plugin-celebrer,14fde2371056c44542eb43c690969a62266f51e6,Integrate python client,Integrate python client
19,fuel-plugin-celebrer,3ec066f90b0cbb534f7e32ac2018d677907639c7,Update server.pp,Update server.pp
20,fuel-plugin-celebrer,cc7d29a1dcd8d425867d3dbb5edb174001b3f106,Update ha.pp,Update ha.pp
21,fuel-plugin-celebrer,2a3084ec282ece2c61c0586f33d3e9f0be2bd7b5,Update ha.pp,Update ha.pp
22,fuel-plugin-celebrer,0cd055c21b3c7f08ce7cb92dcec35a2bd2c4213a,Update ha.pp,Update ha.pp
23,fuel-plugin-celebrer,9f1079f9f6ab56e6a00bfd193fd9d434ed82d448,Update auth.pp,Update auth.pp
24,fuel-plugin-celebrer,f85a0043c0af160d08e01372ad1dabec117cfa34,Update keystone.pp,Update keystone.pp
25,fuel-plugin-celebrer,fc2f76d3ef4e44a6ad13da9fc61d9a574cba67d8,"Fix, change credentials to glance","Fix, change credentials to glance"
26,fuel-plugin-celebrer,bc44920e63f3d75cc0aaaf9fbe1f27df92583da6,Update ha.pp,Update ha.pp
27,fuel-plugin-celebrer,b000cf9efae10134258fd519d87f9e8f324eaa91,Merge branch 'master' of github.com:Mirantis/fuel-plugin-celebrer,Merge branch 'master' of github.com:Mirantis/fuel-plugin-celebrer
28,fuel-plugin-celebrer,7e379e17313b266d281b58317410e8280180e593,Adding HA-proxy supports.,Adding HA-proxy supports.
29,fuel-plugin-celebrer,29ec0475d322c8189a594a7c04b2217745349fd0,Create auth.pp,Create auth.pp
30,fuel-plugin-celebrer,412024a20ff4b3c19d9babf69c172293952a6397,Adding keystone supports.,Adding keystone supports.
31,fuel-plugin-celebrer,e0741b1e7bb432160d3475140db88ca1f34a0e6a,Update params.pp,Update params.pp
32,fuel-plugin-celebrer,379d534e0ee9557ef559535974d5fba0cc9dcf93,Update server.pp,Update server.pp
33,fuel-plugin-celebrer,96d848b438916edf2501a1b9afdb0f5d467339b9,Update init.pp,Update init.pp
34,fuel-plugin-celebrer,d4ccf8ffad5205a5c0f349d0755d03081f465e5b,Update db.pp,Update db.pp
35,fuel-plugin-celebrer,a3cfcaafd644a8339ec58e7a54f341a5f3c4b139,Update server.pp,Update server.pp
36,fuel-plugin-celebrer,bd3846717ba76e390570850d66a2ae55169db5ea,Update agent.pp,Update agent.pp
37,fuel-plugin-celebrer,399591e67206504d7c53e2088a767ee36ef2ef6a,"Merge pull request #1 from degorenko/patch-1

Update server.pp","Merge pull request #1 from degorenko/patch-1

Update server.ppUpdate server.pp"
38,fuel-plugin-celebrer,99a9c8e0dfa2de0d434bd70e341f454d2c75d5c2,Update server.pp,Update server.pp
39,fuel-plugin-celebrer,6fc81818783666215c86c716b82d6da5083201db,Update server.pp,Update server.pp
40,fuel-plugin-celebrer,390efb95c65cd98ddfd077c76a8fd591513eda47,Update server.pp,Update server.pp
41,fuel-plugin-celebrer,0c901506e273f1032134a022fa6a6bad132ff895,Migrate to v2.0.0 FuelPlugin package version,Migrate to v2.0.0 FuelPlugin package version
42,fuel-plugin-celebrer,69cd8b7d3fd168db86a1747ea9caea5c919df2d4,Initial version,Initial version
43,pmlc_neutron,35b31d83f1428fd5e78209c47601fe5874962bf3,Fix typo in admin password setting,Fix typo in admin password setting
44,pmlc_neutron,94c7334eeb3efbb1cf27372352aae74f2d37f2ac,Add certificate based authentication to APIC driver. Add agent poll interval of 60s rather than default 2s.,Add certificate based authentication to APIC driver. Add agent poll interval of 60s rather than default 2s.
45,pmlc_neutron,3bec102682dabfc5547f4bc00786ba2ab0fe5a69,Refactor module to use ini_setting rather than file_lines,Refactor module to use ini_setting rather than file_lines
46,pmlc_neutron,1b4eac9c1ee16ccd4d27532d93612e60047ec142,Initial commit,Initial commit
47,fuel-plugin-standalone-ceph,e4c9e3d7e1221c28802facd7c622aa42b71c4441,"Merge pull request #7 from noskovao/master

add ssl part2","Merge pull request #7 from noskovao/master

add ssl part2add ssl part2"
48,fuel-plugin-standalone-ceph,c9e0c2ddc3a4d24b4b51dd75ecc81fb973374b97,add ssl part2,add ssl part2
49,fuel-plugin-standalone-ceph,9a04177de5bcd7944ed95ba0b088c35d4e9d0d66,"Merge pull request #6 from achekunov/SSL

add ssl part1","Merge pull request #6 from achekunov/SSL

add ssl part1add ssl part1"
50,fuel-plugin-standalone-ceph,14b8305f54588485f04777674ff28663042ee352,add ssl part1,add ssl part1
51,fuel-plugin-standalone-ceph,167732c6c2dac07fae9b3322486899213a9b2149,"Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179","Plugin refactored to support MOS 9.0

Change-Id: If4bdf9868fd7a3e9a7fc3797ca454912877be179"
52,fuel-plugin-standalone-ceph,956894594478ee00d99f8d5de60bd098709fa78a,"Merge pull request #2 from dnikishov/8.0-fixes

Fixes for radosgw and haproxy stats","Merge pull request #2 from dnikishov/8.0-fixes

Fixes for radosgw and haproxy statsFixes for radosgw and haproxy stats"
53,fuel-plugin-standalone-ceph,547dac9c2e9397fccc9ce2ae99f4f67144a4267c,"Fixes for radosgw and haproxy stats

- radosgw manifest should enable mod_proxy
  before attempting to start apache
- Open port 10000 on controllers so that
  haproxy_backend_status resources can operate
  from ceph-mon role

Change-Id: I09c2ad1c6d00702f855dd04d0b9be82fc887b7b8","Fixes for radosgw and haproxy stats

- radosgw manifest should enable mod_proxy
  before attempting to start apache
- Open port 10000 on controllers so that
  haproxy_backend_status resources can operate
  from ceph-mon role

Change-Id: I09c2ad1c6d00702f855dd04d0b9be82fc887b7b8"
54,fuel-plugin-standalone-ceph,eb3e1c3ce3dd4c9dfe8dc5786da4935984a5f6e7,"Merge pull request #1 from gleb108/master

bugfixes for 8.0","Merge pull request #1 from gleb108/master

bugfixes for 8.0bugfixes for 8.0"
55,fuel-plugin-standalone-ceph,76ca7d8d96e5e85655700d1edd0bf33c5c1e4587,SSL path error is fixed,SSL path error is fixed
56,fuel-plugin-standalone-ceph,0c515b7e46907d8a0bd1cf9c9a8bdd657ebe7b74,Change keystone URL in openrc,Change keystone URL in openrc
57,fuel-plugin-standalone-ceph,d3237e04da42b010480f57654b7a392e10529ec3,"Modify deployment tasks according Fuel 8 roles

Syntax of deplyment_tasks.yaml was corrected
Primary Ceph tasks were skipped.
Task standalone-ceph-rados-pki is temporarily disabled.","Modify deployment tasks according Fuel 8 roles

Syntax of deplyment_tasks.yaml was corrected
Primary Ceph tasks were skipped.
Task standalone-ceph-rados-pki is temporarily disabled."
